source_live,target_live,target_host,target_type,target_total_sessions,source_user_count,overlap_ge1_user_count,overlap_ge1_rate,overlap_ge2_user_count,overlap_ge2_rate,overlap_ge3_user_count,overlap_ge3_rate,overlap_active_ge1_user_count,overlap_active_ge1_rate,pre_source_overlap_user_count,pre_source_overlap_rate,pre_source_only_user_count,pre_source_only_rate,post_ge1_user_count,post_ge1_rate,post_ge2_user_count,post_ge2_rate,post_ge3_user_count,post_ge3_rate,post_active_ge1_user_count,post_active_ge1_rate,first_target_user_count,first_target_rate,post_ge1_per_target_session,post_d7_ge1_user_count,post_d7_ge1_rate,post_d7_active_ge1_user_count,post_d7_active_ge1_rate,post_d14_ge1_user_count,post_d14_ge1_rate,post_d14_active_ge1_user_count,post_d14_active_ge1_rate,post_d30_ge1_user_count,post_d30_ge1_rate,post_d30_active_ge1_user_count,post_d30_active_ge1_rate
乃琳_鸣潮,嘉然_鸣潮,嘉然,鸣潮,11,31609,19791,0.6261,14551,0.4603,11051,0.3496,16348,0.5172,1562,0.0494,441,0.014,19350,0.6122,14200,0.4492,10785,0.3412,15909,0.5033,15827,0.5007,1759.09,6100,0.193,4451,0.1408,16407,0.5191,12978,0.4106,18586,0.588,15084,0.4772
乃琳_鸣潮,乃琳_3D,乃琳,3D,4,31609,7796,0.2466,3533,0.1118,1726,0.0546,5775,0.1827,836,0.0264,397,0.0126,7399,0.2341,3297,0.1043,1604,0.0507,5502,0.1741,2986,0.0945,1849.75,2475,0.0783,1902,0.0602,3007,0.0951,2243,0.071,5850,0.1851,4282,0.1355
乃琳_鸣潮,乃琳_电台,乃琳,电台,2,31609,7298,0.2309,2369,0.0749,0,0.0,5596,0.177,0,0.0,0,0.0,7298,0.2309,2369,0.0749,0,0.0,5596,0.177,640,0.0202,3649.0,0,0.0,0,0.0,0,0.0,0,0.0,6582,0.2082,5055,0.1599
乃琳_鸣潮,乃琳_团播,乃琳,团播,2,31609,6436,0.2036,1895,0.06,0,0.0,4862,0.1538,0,0.0,0,0.0,6436,0.2036,1895,0.06,0,0.0,4862,0.1538,721,0.0228,3218.0,537,0.017,325,0.0103,3799,0.1202,2717,0.086,4120,0.1303,2969,0.0939
乃琳_鸣潮,嘉然_团播,嘉然,团播,2,31609,5813,0.1839,1982,0.0627,0,0.0,4400,0.1392,0,0.0,0,0.0,5813,0.1839,1982,0.0627,0,0.0,4400,0.1392,401,0.0127,2906.5,379,0.012,248,0.0078,1358,0.043,934,0.0295,4647,0.147,3420,0.1082
乃琳_鸣潮,乃琳_电影,乃琳,电影,1,31609,4739,0.1499,0,0.0,0,0.0,3570,0.1129,0,0.0,0,0.0,4739,0.1499,0,0.0,0,0.0,3570,0.1129,601,0.019,4739.0,278,0.0088,195,0.0062,1109,0.0351,766,0.0242,4739,0.1499,3570,0.1129
乃琳_鸣潮,贝拉_终末地,贝拉,终末地,2,31609,4299,0.136,1142,0.0361,0,0.0,3308,0.1047,120,0.0038,75,0.0024,4224,0.1336,1097,0.0347,0,0.0,3249,0.1028,404,0.0128,2112.0,311,0.0098,194,0.0061,1863,0.0589,1325,0.0419,2813,0.089,2036,0.0644
乃琳_鸣潮,嘉然_3D,嘉然,3D,3,31609,4061,0.1285,1521,0.0481,507,0.016,2936,0.0929,83,0.0026,49,0.0016,4012,0.1269,1498,0.0474,496,0.0157,2898,0.0917,163,0.0052,1337.33,556,0.0176,358,0.0113,1815,0.0574,1266,0.0401,2418,0.0765,1659,0.0525
乃琳_鸣潮,嘉然_电台,嘉然,电台,2,31609,3783,0.1197,1130,0.0357,0,0.0,2863,0.0906,0,0.0,0,0.0,3783,0.1197,1130,0.0357,0,0.0,2863,0.0906,74,0.0023,1891.5,0,0.0,0,0.0,0,0.0,0,0.0,2783,0.088,2033,0.0643
乃琳_鸣潮,嘉然_电影,嘉然,电影,1,31609,2552,0.0807,0,0.0,0,0.0,1909,0.0604,0,0.0,0,0.0,2552,0.0807,0,0.0,0,0.0,1909,0.0604,45,0.0014,2552.0,0,0.0,0,0.0,0,0.0,0,0.0,859,0.0272,618,0.0196
乃琳_鸣潮,贝拉_3D,贝拉,3D,1,31609,1793,0.0567,0,0.0,0,0.0,1366,0.0432,0,0.0,0,0.0,1793,0.0567,0,0.0,0,0.0,1366,0.0432,23,0.0007,1793.0,0,0.0,0,0.0,0,0.0,0,0.0,602,0.019,438,0.0139
